instancia,aps_regioes,aps_pontos,tempo_regioes_s,tempo_pontos_s,pontos_alta_demanda,pontos_livres,pontos_obstaculos
101003_sec_t1_1200_sf,16,18,70.82,timeout,39,659,9298
10_gt_9,8,8,30.89,94.24,223,197,448
1_01_002_sec_t1_1200_ff,20,790,50.14,timeout,143,700,9153
1_03_002_Seco1_1200_Music_Sports_First_Floor,19,841,32.15,timeout,132,709,9155
1_gt_14,4,4,0.41,0.27,28,29,63
1fe_210_pjmi,23,1696,430.91,timeout,460,1236,8300
1fe_240_pjmi,19,1692,513.93,timeout,462,1230,8304
2-01-001_prim_t2_420_26,12,14,64.48,timeout,406,252,9338
2_01_002_prim_t2_420__26_001,13,13,21.15,57.29,171,491,9334
2_01_003_sec_t2_1200_sf,16,16,153.98,358.14,51,921,9024
2_02_001_prim_t2_420__26,13,13,55.68,166.00,408,251,9337
2_02_002_prim_t2_420__26,12,12,183.48,518.24,171,383,9442
2_gt_16,7,7,0.57,1.85,75,71,253
2fe_180_pis,19,1542,550.73,timeout,446,1096,8454
3_gt_12,8,8,0.52,1.69,99,69,312
3fe_630_pjmi_ff_62m2,27,1666,204.28,timeout,122,1544,8330
3fe_630_pjmi_ff_with_55m2_cls,27,1666,200.94,timeout,125,1541,8330
3fe_630_pjmi_gf_002,31,2053,366.59,timeout,643,1410,7943
4_gt_7,5,5,0.50,0.51,73,39,148
5_gt_9,6,6,1.32,4.25,98,82,314
6_gt_6,12,23,17.31,timeout,245,234,641
7_gt_6,6,6,89.86,284.15,196,115,309
8_gt_7,6,6,1.36,0.77,67,78,159
9_gt_5,13,20,23.70,timeout,311,190,831
IIa_A01001_gt_3,11,667,32.45,timeout,481,186,542
IIa_AP3301_gt_5,17,891,456.36,timeout,545,405,1108
IIa_AP3401_gt_5,15,944,145.93,timeout,597,347,1188
IIa_AP3601_gt_4,14,906,34.44,timeout,509,397,1164
IIa_BA0710_gt_3,16,1148,227.06,timeout,530,618,1057
IIa_BK0701_gt_6,8,8,53.45,167.83,422,131,399
IIa_BK0703_gt_5,9,9,117.78,352.78,212,240,508
IIa_BN0802_gt_2,11,11,112.88,319.99,378,374,788
IIa_BN0803_gt_3,13,787,28.69,timeout,353,434,641
IIa_BN0820_gt_5,14,732,19.91,timeout,381,376,783
IIa_BS0601_gt_2,19,1021,98.39,timeout,687,334,1763
IIa_CA0701_gt_6,13,812,26.64,timeout,433,379,784
IIa_CN0603_gt_5,13,832,22.40,timeout,435,397,848
IIa_CS0803_gt_8,13,834,39.75,timeout,470,364,730
IIa_DE1110_gt_6,11,857,36.68,timeout,474,383,883
IIa_DL0701_gt_6,6,6,148.77,440.21,142,269,395
IIa_FE0901_gt_7,14,1209,187.59,timeout,609,600,937
IIa_GC0801_gt_10,14,902,55.57,timeout,493,409,988
IIa_GC0802_gt_2,16,967,50.61,timeout,529,438,1148
IIa_GC1202_gt_4,21,1486,139.83,timeout,327,1159,2622
IIa_GL0401_gt_4,19,1438,197.06,timeout,538,900,1337
IIa_GT0501_gt_2,16,797,42.27,timeout,477,320,1303
IIa_GT0602_gt_2,9,765,39.38,timeout,313,452,355
IIa_GY0410_gt_3,19,1130,46.42,timeout,667,463,850
IIa_GZ0501_gt_2,14,627,14.52,timeout,300,327,549
IIa_GZ0520_gt_4,14,14,7.83,22.70,300,318,558
IIa_LE0803_gt_3,14,993,102.42,timeout,323,670,807
IIa_LI0801_gt_3,12,746,28.28,timeout,438,308,762
IIa_LZ1101_gt_2,14,1143,69.31,timeout,425,718,989
IIa_MN0601_gt_3,17,878,42.14,timeout,366,550,1184
IIa_MN0605_gt_2,21,64,timeout,timeout,511,426,1639
IIa_MN0610_gt_3,16,940,32.70,timeout,490,450,1160
IIa_NS0701_gt_5,9,554,13.50,timeout,395,159,287
IIa_OO0401_gt_6,13,790,22.85,timeout,351,439,506
IIa_SL0801_gt_2,17,1215,81.12,timeout,678,537,1080
IIa_SR1101_gt_8,15,1075,236.86,timeout,626,449,899
IIa_SR1102_gt_5,15,1032,76.14,timeout,599,433,942
IIa_TB0401_gt_5,9,9,139.03,433.10,494,149,907
IIa_TC0401_gt_5,14,816,25.74,timeout,247,569,547
IIa_TD0810_gt_6,16,840,54.24,timeout,471,369,1140
IIa_TZ0601_gt_2,18,1151,175.34,timeout,551,600,1537
IIb_CS0801_gt_5,8,8,130.85,390.46,317,249,565
IIb_DD0601_gt_5,9,9,10.41,32.56,448,139,325
IIb_FZ0901_gt_2,16,991,42.46,timeout,462,529,384
IIb_GY0502_gt_2,16,776,33.92,timeout,328,456,797
IIb_MN0702_gt_7,8,558,12.60,timeout,235,323,256
IIc_BI0901_gt_2,10,10,97.13,301.25,256,159,557
IIc_RE0701_gt_2,10,571,66.96,timeout,258,313,353
IIc_UO0701_gt_2,10,10,153.32,470.36,492,184,657
IId_AD0801_gt_2,16,791,48.61,timeout,284,533,431
IId_AE0602_gt_3,17,1080,61.32,timeout,442,638,1120
IId_BA0702_gt_3,15,785,22.71,timeout,214,571,1028
IId_CT0401_gt_3,8,8,159.03,495.40,392,149,590
IId_GI0601_gt_5,14,681,19.17,timeout,144,537,354
IId_HT0601_gt_6,10,634,18.67,timeout,223,414,665
IId_LA0401_gt_5,10,10,47.36,139.22,197,285,1023
IId_OZ0501_gt_3,14,730,171.16,timeout,302,444,993
IId_PL0720_gt_5,13,673,17.45,timeout,295,378,487
IId_PN0603_gt_6,9,9,12.52,38.98,423,151,604
IId_VO0701_gt_8,15,849,27.09,timeout,317,532,763
Ia_AP2022_som_gt_9,12,730,31.41,timeout,362,368,1046
Ia_BN0601_som_gt_7,14,744,29.00,timeout,460,284,713
Ia_DE1101_som_gt_6,11,831,31.89,timeout,385,446,909
Ia_DS0801_som_gt_14,13,812,35.54,timeout,537,275,826
Ia_GO0601_som_gt_8,13,825,25.27,timeout,445,380,771
Ia_GY0401_som_gt_9,18,1061,41.72,timeout,728,333,952
Ia_JN0701_som_gt_8,9,9,124.55,381.61,449,187,524
Ia_LS0701_som_gt_5,16,856,40.22,timeout,241,615,930
Ia_MR0601_som_gt_6,13,828,46.31,timeout,464,364,723
Ia_TD0801_som_gt_5,17,840,51.14,timeout,456,384,1184
Ib_AE0601_som_gt_5,14,744,24.82,timeout,304,440,1308
Ib_BN1701_som_gt_7,7,7,12.45,39.08,286,131,663
Ib_CT0601_som_gt_3,12,621,13.49,timeout,78,543,555
Ib_CU1001_som_gt_3,15,46,31.79,timeout,244,565,872
Ib_GY0301_som_gt_10,7,8,80.28,timeout,420,165,439
Ib_JR0801_som_gt_4,22,1272,65.59,timeout,563,709,2472
Ib_LD0601_som_gt_5,8,8,92.51,281.60,353,202,303
Ib_LT0702_som_gt_5,13,768,52.44,timeout,549,219,1080
Ib_PR0901_som_gt_3,9,9,164.55,476.76,324,320,322
Ib_RI0501_som_gt_5,15,740,35.91,timeout,386,354,988
Ic_AA1001_som_gt_5,9,9,113.96,328.31,218,334,636
Ic_CA0501_som_gt_3,14,14,191.95,533.88,558,422,1764
Ic_CI1001_som_gt_6,5,7,77.87,timeout,240,117,345
Ic_DE0901_som_gt_6,18,24,144.60,timeout,335,388,1317
Ic_JN0702_som_gt_3,13,658,14.67,timeout,366,292,706
Ic_KI0501_som_gt_3,7,7,3.25,10.18,256,138,476
Ic_MT0601_som_gt_4,9,386,8.37,timeout,219,167,342
Ic_MU0703_som_gt_8,8,8,61.85,190.92,361,170,294
Ic_RD0602_som_gt_4,14,572,19.12,timeout,250,328,682
Ic_RE0503_som_gt_7,5,5,24.88,78.60,200,117,229
fingerblock_1200_gf,30,1158,timeout,timeout,418,1012,8566
image001_gt_11,43,290,timeout,timeout,2354,1785,5866
image002_gt_7,30,119,timeout,timeout,672,2173,4781
image003_gt_3,31,139,timeout,timeout,1911,920,4971
image005_gt_4,38,38,timeout,timeout,2432,1826,4712
image006_gt_2,31,104,timeout,timeout,1557,1235,4834
image007_gt_2,36,36,timeout,timeout,1671,2463,5181
image008_gt_3,30,124,timeout,timeout,981,1824,4821
image014_gt_2,39,1193,timeout,timeout,2099,2013,6096
image021_gt_2,40,555,timeout,timeout,1892,2318,5105
image022_gt_2,32,54,timeout,timeout,1220,1595,4987
image023_gt_2,40,40,timeout,timeout,2240,1970,5105
image024_gt_2,29,54,timeout,timeout,1208,1624,4794
image025_gt_2,38,632,timeout,timeout,1354,2835,5126
image026_gt_2,31,107,timeout,timeout,1514,1288,4824
image027_gt_2,39,587,timeout,timeout,1538,2651,5126
image028_gt_2,30,160,timeout,timeout,1571,1321,4827
image029_gt_3,39,402,timeout,timeout,1622,2543,5150
image030_gt_2,29,117,timeout,timeout,1201,1608,4993
p1_gt_5,12,944,30.09,timeout,325,619,496
p2_gt_3,13,1014,37.93,timeout,341,673,537
p3_gt_3,20,1234,83.16,timeout,882,352,794
p4_gt_3,17,1313,148.54,timeout,953,360,807
sec_type_1_1120_gf,34,1020,timeout,timeout,424,903,8669
sec_type_1_1200_ms_gf,26,1412,258.70,timeout,436,991,8569
sec_type_1_1200_ms_sf,19,942,48.03,timeout,33,919,9044
sec_type_1_1200_prac_ff_002,22,48,33.04,timeout,156,668,9172
sec_type_1_1200_prac_gf_004,32,1141,490.88,timeout,436,990,8570
sec_type_1_1200_prac_sf,16,16,36.32,92.42,29,659,9308
sec_type_1_1850_ff_001,26,1344,552.76,timeout,189,1156,8651
sec_type_1_1850_gf_001,32,1862,timeout,timeout,465,1397,8134
sec_type_1_1850_sf,23,1228,541.38,timeout,104,1124,8768
sec_type_3_600_sf_001,15,649,153.76,timeout,17,776,9203
superblock_1200_gf,27,1143,timeout,timeout,452,839,8705
